Date and Time:                Fri May 23 20:37:11.967 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
739,0014	1100
739,52661	995
740,05182	949
740,57709	879
741,10236	796
741,62769	753
742,15295	697
742,67834	651
743,20367	612
743,72906	587
744,25452	530
744,77997	502
745,30542	484
745,83093	456
746,35645	407
746,88196	391
747,40753	367
747,93311	357
748,45874	315
748,98438	313
749,51001	286
750,03571	272
750,5614	237
751,08716	233
751,61292	225
752,13867	230
752,66449	194
753,19037	192
753,71619	161
754,24207	142
754,76801	138
755,29388	129
755,81989	111
756,34583	102
756,87183	111
757,39789	105
757,92395	90
758,45001	78
758,97607	85
759,5022	67
760,02838	56
760,55457	70
761,08075	68
761,60699	49
762,13324	39
762,65948	51
763,18579	53
763,7121	57
764,23846	49
764,76483	38
765,2912	48
765,81763	47
766,34406	52
766,87054	35
767,39703	41
767,92352	65
768,45007	48
768,97662	41
769,50323	52
770,02985	50
770,55646	44
771,08313	25
771,6098	27
772,13654	41
772,66327	30
773,19	43
773,7168	51
774,24359	53
774,77045	49
775,2973	27
775,82416	59
776,35107	37
776,87799	40
777,40497	27
777,93195	39
778,45892	48
778,98596	25
779,513	43
780,0401	49
780,5672	33
781,0943	26
781,62146	23
782,14862	37
782,67578	30
783,203	49
783,73029	30
784,25757	34
784,78485	39
785,31213	39
785,83948	27
786,36688	26
786,89423	32
787,42169	19
787,9491	50
788,47656	31
789,00409	26
789,53156	40
790,05908	45
790,58667	33
791,11426	41
791,64185	21
792,16949	34
792,69714	30
793,22485	34
793,75256	26
794,28027	40
794,80804	48
795,33582	53
795,86365	38
796,39148	29
796,91931	28
797,4472	26
797,9751	20
798,50299	32
799,03094	40
799,55896	24
800,08691	51
800,61499	24
801,14301	35
801,67108	34
802,19916	22
802,72729	36
803,25543	26
803,78363	44
804,31183	26
804,84003	37
805,36829	32
805,89655	40
806,4248	54
806,95313	16
807,48151	39
808,00983	30
808,53827	29
809,06665	26
809,59509	35
810,12354	28
810,65204	26
811,18054	33
811,70911	22
812,23767	37
812,76624	11
813,29486	52
813,82349	29
814,35211	44
814,8808	43
815,40955	37
815,93823	29
816,46698	30
816,99579	46
817,5246	27
818,05341	36
818,58228	25
819,11115	36
819,64001	19
820,16895	17
820,69794	30
821,22687	50
821,75586	18
822,28491	43
822,81396	45
823,34302	55
823,87213	24
824,40125	42
824,93036	36
825,45953	32
825,98877	55
826,51794	27
827,04718	27
827,57648	26
828,10577	25
828,63507	35
829,16443	30
829,69379	37
830,22314	23
830,75256	11
831,28204	61
831,81146	26
832,34094	28
832,87048	21
833,40002	23
833,92957	25
834,45917	27
834,98877	38
835,51837	44
836,04803	44
836,5777	23
837,10742	26
837,63715	33
838,16693	29
838,69666	29
839,2265	28
839,75629	14
840,28613	4
840,81604	19
841,34595	12
841,87585	25
842,40582	26
842,93579	27
843,46576	42
843,99579	35
844,52582	31
845,05591	28
845,586	20
846,11615	34
846,64624	16
847,17645	30
847,7066	30
848,23682	60
848,76709	39
849,29736	20
849,82764	49
850,35797	17
850,88831	33
851,41864	20
851,94904	25
852,47943	17
853,00989	35
853,54034	33
854,0708	25
854,60132	29
855,13184	18
855,66241	37
856,19299	29
856,72357	27
857,25421	47
857,78491	26
858,31555	34
858,84625	29
859,37701	31
859,90771	35
860,43854	20
860,9693	16
861,50012	17
862,03101	29
862,56189	45
863,09277	29
863,62366	37
864,15466	44
864,68561	18
865,21661	37
865,74762	17
866,27869	30
866,80975	24
867,34082	26
867,87195	21
868,40308	24
868,93427	21
869,46545	36
869,99664	18
870,52789	29
871,05914	26
871,59045	20
872,12177	38
872,65308	31
873,18445	19
873,71582	21
874,24725	22
874,77869	27
875,31012	23
875,84161	52
876,37311	15
876,90466	7
877,43622	31
877,96777	23
878,49939	36
879,03101	11
879,56268	31
880,09436	14
880,62604	17
881,15778	35
881,68951	33
882,22131	30
882,75311	33
883,28491	28
883,81677	1
884,34863	34
884,88055	32
885,41248	23
885,9444	30
886,47638	29
887,00836	20
887,54041	-2
888,07239	6
888,60449	47
889,1366	7
889,6687	22
890,20081	22
890,73297	30
891,2652	29
891,79742	26
892,32965	37
892,86188	4
893,39417	24
893,92651	12
894,4588	20
894,99121	22
895,52356	24
896,05597	23
896,58838	25
897,12085	22
